Quantity Ordered,Total
1,700
1,15
1,24
3,150
1,12
1,3
1,390
1,12
1,100
1,150
1,150
1,1700
1,9
1,150
1,300
1,150
1,400
1,150
1,12
1,4
1,3
1,12
1,600
1,150
2,4
1,6
1,3
1,12
2,3
1,100
1,150
1,150
1,390
1,150
1,4
1,390
1,12
1,12
1,3
1,24
1,12
1,12
1,12
1,15
1,100
1,15
2,15
1,3
1,15
1,400
1,300
1,12
2,9
3,390
1,100
1,1700
1,110
1,150
1,12
1,4
1,3
2,12
1,100
1,4
1,12
1,15
1,15
1,3
1,150
1,150
1,6
1,4
1,12
1,9
1,12
1,3
1,150
1,6
3,3
1,380
1,150
1,15
1,1700
1,12
1,9
1,150
2,100
1,100
1,4
1,100
1,6
1,12
1,12
1,100
1,600
1,12
2,1000
1,12
1,12
1,300
1,12
1,150
1,12
1,15
2,700
1,100
1,3
1,3
1,15
1,600
1,12
1,100
1,150
1,12
1,150
1,4
2,24
1,15
1,15
1,24
1,15
1,12
1,100
1,390
1,15
1,15
1,15
1,6
1,1700
1,300
2,15
1,12
3,4
1,400
1,12
1,300
1,390
1,12
1,15
1,6
1,15
1,3
1,150
1,12
1,390
1,12
1,12
1,12
1,4
1,12
1,100
1,3
1,3
1,600
1,12
1,1700
1,15
1,3
1,15
1,4
1,12
2,100
1,150
1,12
1,700
3,3
2,12
1,15
1,3
1,1000
1,15
3,150
2,3
1,15
1,4
1,12
2,12
1,150
1,150
1,100
1,150
1,12
1,8
1,4
1,600
1,12
1,3
1,100
1,150
2,12
1,30
1,300
1,150
1,30
1,150
1,12
1,600
1,12
1,4
1,150
1,380
2,12
1,12
1,600
1,390
1,12
1,100
1,700
2,24
1,300
1,600
1,4
1,600
4,15
1,3
1,12
1,100
1,3
1,100
1,12
1,600
1,100
1,4
1,100
1,1700
1,100
1,150
1,3
1,700
1,150
1,700
1,3
1,700
1,15
3,12
1,150
1,8
1,15
1,6
1,100
2,300
1,300
1,3
1,150
1,700
1,700
1,150
1,15
1,700
1,4
1,600
1,150
1,100
2,8
1,4
2,12
1,300
1,12
1,390
1,12
1,100
1,100
1,6
2,150
1,100
2,110
1,380
1,8
1,1700
1,12
1,12
1,4
1,600
1,600
1,4
1,8
1,390
1,700
1,390
1,600
2,150
1,12
1,15
1,24
1,390
1,15
1,150
1,600
2,380
1,600
1,700
1,15
1,15
1,700
1,12
1,150
1,600
1,12
1,6
1,8
1,150
1,9
1,100
1,3
1,300
1,15
3,380
1,100
1,12
1,3
1,15
1,150
1,150
1,150
1,3
1,4
1,15
1,15
1,600
2,110
3,24
1,15
1,150
1,700
1,300
1,12
1,30
1,100
1,100
1,12
2,9
1,12
1,15
1,390
1,12
1,380
1,12
1,100
1,12
1,150
1,12
4,150
1,15
1,1000
1,1700
1,12
1,15
1,3
2,15
1,15
1,12
1,150
2,300
1,100
1,15
1,4
1,150
1,700
1,12
1,1700
1,8
1,15
1,12
1,150
1,4
1,12
1,100
1,1000
2,8
1,100
1,3
1,1000
1,15
1,6
1,110
1,3
1,6
1,15
1,150
1,12
1,150
1,12
2,15
2,8
1,15
1,150
1,15
1,150
1,150
2,3
2,4
1,12
1,4
1,12
1,100
1,150
1,9
1,3
1,12
1,600
2,12
2,12
1,150
1,300
1,4
1,150
1,12
2,15
1,700
1,4
1,3
1,12
2,150
1,8
1,6
1,1000
1,1700
1,110
1,3
1,100
1,3
1,15
1,12
1,15
1,110
1,600
1,15
1,6
1,4
1,15
1,4
1,4
1,12
1,150
1,3
1,4
2,1700
1,12
1,12
1,3
1,700
1,600
1,390
1,8
1,45
1,15
1,390
1,700
1,6
1,12
1,12
1,3
1,36
3,400
1,150
1,150
1,380
1,24
1,4
1,380
1,3
1,390
1,12
1,150
1,4
2,4
1,380
1,1700
1,380
1,100
1,12
1,12
1,3
1,400
1,15
1,390
1,12
1,150
1,1700
1,700
3,700
1,390
1,150
1,12
1,4
1,12
1,600
1,12
1,12
1,4
1,12
2,12
1,100
1,100
1,3
1,600
1,390
1,12
2,4
1,1700
3,12
1,15
1,12
1,12
2,30
1,3
1,12
1,15
1,1700
1,700
3,390
1,100
1,380
2,12
1,1000
1,700
1,15
1,4
1,4
1,100
1,12
1,12
2,150
2,6
1,30
1,150
2,150
1,300
1,150
2,390
1,15
1,24
1,300
1,12
1,100
1,150
1,12
1,3
1,400
1,15
1,100
1,300
1,12
1,15
1,600
1,110
1,12
1,8
1,12
2,15
1,150
1,12
1,100
1,12
1,15
1,12
1,15
1,15
1,12
1,150
1,150
1,100
1,100
1,390
1,150
1,1700
1,150
1,8
1,600
1,24
1,3
1,12
1,12
1,4
1,100
1,700
1,12
1,3
1,150
1,110
1,4
1,150
1,12
1,300
1,390
1,100
1,100
3,390
1,400
1,15
1,600
1,12
1,15
1,3
1,4
1,12
1,110
1,6
1,380
1,600
1,4
1,6
1,15
1,12
1,15
1,12
1,12
1,15
1,15
1,110
1,4
1,300
2,12
1,100
1,380
2,380
1,150
1,300
2,6
1,100
1,12
1,12
1,12
1,100
1,100
1,4
1,3
1,15
1,3
1,4
1,100
1,12
1,100
1,3
1,150
1,12
1,150
1,110
1,1000
1,15
1,100
1,12
1,4
1,1000
1,150
1,12
1,3
1,390
1,24
1,100
1,150
1,12
1,110
1,8
1,15
1,380
1,380
1,15
1,4
1,150
1,12
1,150
1,4
1,6
1,21
1,4
1,4
1,600
2,12
1,700
2,6
1,700
1,380
1,15
1,12
1,8
1,4
1,150
1,12
1,4
1,600
1,300
2,6
1,400
2,12
1,12
2,600
1,12
1,12
1,1000
2,150
1,12
1,6
1,12
1,150
2,8
1,400
1,12
1,15
1,150
2,3
1,100
3,6
1,12
1,3
1,100
2,12
1,12
1,15
1,4
1,15
1,12
1,15
1,220
1,150
1,150
1,8
1,110
1,12
1,15
1,12
1,300
1,380
1,15
1,12
1,1700
1,380
1,15
1,100
1,110
1,3
1,15
1,110
1,12
1,12
1,12
2,15
3,100
1,150
1,12
1,3
1,1000
1,15
1,1700
1,600
2,15
1,300
1,24
1,15
1,12
1,12
1,700
1,4
1,100
1,4
1,600
1,12
2,15
1,700
1,12
2,300
1,150
2,150
1,15
1,380
2,600
1,700
1,3
1,3
1,4
1,12
1,150
1,12
2,300
1,100
1,110
1,150
1,390
1,400
1,150
1,15
1,600
1,100
1,100
1,12
1,6
1,100
1,700
1,12
1,15
1,4
1,15
2,150
1,9
1,150
1,390
1,3
2,150
1,15
1,100
1,12
1,100
1,150
1,12
2,700
1,700
1,15
2,150
1,6
1,100
1,1700
1,150
1,6
1,390
1,12
1,15
1,12
3,15
1,4
1,110
1,12
1,3
1,300
1,600
1,12
1,4
1,110
1,3
1,4
1,300
3,150
2,150
1,700
1,1000
1,700
1,150
2,9
1,600
1,36
2,15
1,15
1,30
1,300
1,12
1,1000
1,24
1,4
1,600
1,12
1,3
1,150
1,12
1,1700
1,150
1,100
1,100
1,12
1,600
1,700
1,1700
1,15
1,4
1,12
2,3
1,8
2,6
1,390
1,150
1,390
1,6
1,12
1,4
1,4
1,1000
1,12
1,100
1,12
1,12
1,150
1,4
1,4
1,12
1,3
1,3
1,1700
1,36
1,700
1,15
1,15
1,390
1,600
1,12
1,12
1,3
1,100
1,15
1,12
1,150
1,12
1,15
1,12
1,8
1,100
1,700
1,3
1,700
1,150
1,1000
1,390
1,15
1,600
2,1700
1,12
1,15
1,110
1,100
1,9
1,100
1,150
1,4
1,1700
1,100
1,12
1,390
1,12
1,150
2,15
1,8
1,15
1,6
2,12
1,600
3,100
1,24
